Year,Type,Party,Votes,Seats
2017,Total,National Party ,1152075,56
2017,Total,Labour Party ,956184,46
2017,Total,New Zealand First Party ,186706,9
2017,Total,Green Party ,162443,8
2017,Total,ACT New Zealand ,13075,1
2017,Total,The Opportunities Party (TOP) ,63261,0
2017,Total,Māori Party ,30580,0
2017,Total,Aotearoa Legalise Cannabis Party ,8075,0
2017,Total,Conservative ,6253,0
2017,Total,MANA ,3642,0
2017,Total,Ban1080 ,3005,0
2017,Total,New Zealand People's Party ,1890,0
2017,Total,United Future ,1782,0
2017,Total,NZ Outdoors Party ,1620,0
2017,Total,Democrats for Social Credit ,806,0
2017,Total,Internet Party ,499,0
2017,Advance,National Party,464984,56
2017,Advance,Labour Party,375427,46
2017,Advance,New Zealand First Party,73010,9
2017,Advance,Green Party,64192,8
2017,Advance,ACT New Zealand,4691,1
2017,Advance,The Opportunities Party (TOP),19971,0
2017,Advance,Māori Party,11740,0
2017,Advance,Conservative,2308,0
2017,Advance,Aotearoa Legalise Cannabis Party,2137,0
2017,Advance,MANA,1376,0
2017,Advance,Ban1080,824,0
2017,Advance,New Zealand People's Party,805,0
2017,Advance,United Future,644,0
2017,Advance,NZ Outdoors Party,461,0
2017,Advance,Democrats for Social Credit,330,0
2017,Advance,Internet Party,159,0
2014,Total,National Party,1131501,60
2014,Total,Labour Party,604535,32
2014,Total,Green Party,257359,14
2014,Total,New Zealand First Party,208300,11
2014,Total,Māori Party,31849,2
2014,Total,ACT New Zealand,16689,1
2014,Total,United Future,5286,1
2014,Total,Conservative,95598,0
2014,Total,Internet MANA,34094,0
2014,Total,Aotearoa Legalise Cannabis Party,10961,0
2014,Total,Ban1080,5113,0
2014,Total,Democrats for Social Credit,1730,0
2014,Total,The Civilian Party,1096,0
2014,Total,NZ Independent Coalition,872,0
2014,Total,Focus New Zealand,639,0
2014,Advance,National Party,300237,60
2014,Advance,Labour Party,153656,31
2014,Advance,Green Party,62597,13
2014,Advance,New Zealand First Party,57288,11
2014,Advance,Internet MANA,9434,2
2014,Advance,Māori Party,8368,2
2014,Advance,ACT New Zealand,3751,1
2014,Advance,United Future,1230,1
2014,Advance,Conservative,27272,0
2014,Advance,Aotearoa Legalise Cannabis Party,1673,0
2014,Advance,Ban1080,897,0
2014,Advance,Democrats for Social Credit,472,0
2014,Advance,NZ Independent Coalition,262,0
2014,Advance,Focus New Zealand,171,0
